industry,name,max_change,min_change,start,end,amount,turn,change,up_count,down_count
化工原料,万盛股份,1.65,-1.67,18.6,18.15,70009.86569343066,1.641532116788321,4.65,212,199
黄金,恒邦股份,1.75,-1.78,18.87,19.28,519251.91195121955,4.482611463414634,4.65,229,181
运输设备,康力电梯,0.88,-0.89,10.07,9.85,162081.3096107056,3.896706812652068,4.64,221,190
酒店餐饮,锦江酒店,2.78,-2.53,30.6,30.55,102673.70900243308,0.5515189781021899,4.64,194,217
农业综合,新五丰,1.43,-1.52,15.93,15.75,265540.69839416054,4.128405839416058,4.64,204,207
半导体,士兰微,1.67,-1.71,20.67,21.03,886332.09513382,4.42330900243309,4.63,210,201
汽车配件,万通智控,2.54,-2.53,27.71,27.98,123976.91708029197,9.871849635036495,4.63,214,197
通信设备,中海达,1.34,-1.36,15.61,15.93,207370.44501216547,4.480462530413625,4.63,223,188
化纤,苏州龙杰,8.55,-4.69,47.0,46.9,75901.43186588922,7.809722157434402,4.63,180,163
区域地产,ST岩石,0.68,-0.7000000000000001,14.4,14.32,17296.002668292684,0.6247926829268292,4.63,235,175
超市连锁,百联股份,1.22,-0.84,12.4,13.39,65990.40364963503,0.44411605839416063,4.62,228,183
机械基件,中密控股,2.12,-2.72,32.09,32.18,50827.24632603407,1.082849878345499,4.6,221,190
中成药,康缘药业,1.38,-1.54,18.42,18.4,84407.14720194647,1.033974209245742,4.6,213,198
航空,威海广泰,1.59,-1.59,18.17,18.1,79106.13072992701,1.6322250608272506,4.59,207,204
超市连锁,步步高,0.99,-0.88,12.33,12.55,58131.540145985404,0.7748019464720196,4.58,213,198
元器件,思创医惠,1.52,-1.52,17.3,16.9,207219.14476885644,2.4626401459854015,4.58,197,214
中成药,中新药业,1.75,-1.2,18.64,19.25,72321.08856447689,0.8778374695863747,4.58,222,189
园区开发,市北高新,1.83,-2.03,19.58,20.26,676814.0367396594,4.692828467153285,4.57,213,198
软件服务,大恒科技,1.11,-1.26,14.0,13.64,81376.16593673966,1.7447712895377132,4.55,209,202
化学制药,奥赛康,1.86,-1.84,20.39,20.42,81039.26248780487,3.3167917073170727,4.54,220,190
小金属,云南锗业,1.2,-1.14,13.69,13.7,264836.2622871046,4.633545498783454,4.54,217,194
软件服务,常山北明,1.21,-1.3,13.9,13.63,348749.6856447689,2.54192092457421,4.54,215,196
饲料,唐人神,1.59,-1.66,18.0,17.82,301344.1502676399,3.660714598540146,4.53,204,207
汽车服务,东方时尚,1.56,-2.16,25.11,25.14,64776.5405109489,0.8261063260340632,4.52,205,206
多元金融,越秀金控,1.06,-1.12,12.55,12.59,140921.4127,0.851772,4.52,209,191
广告包装,蓝色光标,0.8200000000000001,-0.8200000000000001,8.4,9.01,393699.7216545012,3.0620316301703165,4.51,220,191
钢加工,玉龙股份,0.58,-0.53,10.12,10.12,30686.908661800488,0.6792946472019465,4.5,227,184
航空,海特高新,1.91,-2.1,20.09,21.0,444098.88588807784,5.008933333333333,4.5,216,195
互联网,三维通信,1.27,-1.29,14.86,15.16,273649.8720698254,5.586647630922695,4.5,203,198
汽车整车,江淮汽车,1.0,-0.97,11.3,11.02,184778.47931873478,1.4594231143552312,4.5,212,199
汽车配件,金麒麟,1.52,-1.84,20.06,20.47,33166.63681265207,2.084613625304136,4.49,221,190
化学制药,力生制药,1.93,-2.65,30.69,31.33,32448.2399026764,0.6928092457420925,4.49,232,179
装修装饰,亚厦股份,0.91,-1.05,10.48,10.55,54358.8503649635,0.6696542579075426,4.49,211,200
汽车配件,威孚高科,2.04,-1.9,25.52,25.7,154340.2895377129,0.9275557177615571,4.48,212,199
汽车整车,长安汽车,0.99,-1.09,12.0,11.9,287903.2892944039,0.8471610705596109,4.47,221,190
化工原料,卫星石化,1.81,-1.8,21.11,20.88,240597.48686131387,1.5510094890510948,4.46,210,201
环境保护,雪浪环境,1.93,-2.32,25.25,24.81,38802.033381995134,2.681225304136253,4.45,215,196
电气设备,新雷能,2.31,-2.54,26.5,25.4,73812.22652068127,4.684448661800486,4.44,217,194
汽车配件,银轮股份,1.15,-1.24,12.57,12.63,127464.38167883211,1.7857508515815084,4.43,219,192
服饰,周大生,3.19,-2.61,37.46,37.46,76233.46715328467,1.423992700729927,4.42,210,201
化学制药,海翔药业,0.97,-0.94,11.3,10.69,208783.06715328465,1.7426851581508516,4.42,221,190
百货,爱婴室,3.0,-3.81,49.6,49.65,59420.27727493917,3.8929257907542576,4.42,208,203
园区开发,浦东金桥,1.6,-1.75,17.55,17.55,49941.1998053528,0.41305620437956203,4.4,208,203
环境保护,旺能环境,1.53,-1.46,20.17,20.73,52754.4189781022,1.6291201946472023,4.39,197,214
软件服务,多伦科技,0.92,-0.92,11.41,11.44,53563.64676399027,1.8652622871046225,4.39,225,186
医疗保健,光正集团,1.22,-1.34,14.12,13.41,168409.14038929442,4.073333819951338,4.39,216,195
电器仪表,汇中股份,1.5,-1.65,17.03,17.11,31610.658880778585,2.3945695863746956,4.38,238,173
汽车配件,模塑科技,1.42,-1.57,16.11,15.66,299731.9002189781,4.3705878345498785,4.37,226,185
软件服务,银江股份,0.92,-1.07,11.05,11.24,176626.41216545014,3.126416301703163,4.35,227,184
互联网,浙江富润,1.03,-1.28,12.3,12.81,115296.24554744524,2.6972664233576644,4.35,214,197
小金属,广晟有色,3.96,-3.76,45.21,46.7,264884.40413625306,2.843735279805353,4.34,209,202
全国地产,保利地产,0.86,-1.35,16.81,17.04,1099430.9489051094,0.6566072992700729,4.33,203,208
纺织,牧高笛,2.3,-3.2,31.9,32.0,23859.567250608274,3.6504180048661805,4.32,214,197
元器件,欧菲光,2.02,-2.02,22.7,22.22,1741938.0221674878,4.941858866995075,4.29,211,195
元器件,天通股份,0.8,-1.06,10.73,10.81,235128.87299270072,2.879128467153285,4.29,221,190
电气设备,麦克奥迪,1.83,-1.94,19.99,20.14,127218.10708029199,2.132711922141119,4.28,227,184
互联网,拓维信息,1.16,-1.2,13.17,13.14,379646.48175182485,5.5408708029197085,4.28,214,197
